Marca,Modelo,Ano,Kilometraje,Condicion,Combustible,Color,Transmision,price,location,Comuna,Tipo_de_vendedor,Category
Suzuki,Jimny,2022,15185,Usado,Bencina,Verde,Automática,14990000,Los Lagos,Puerto Montt,Vendedor de autos.,Autos-vehículo
Gac Motor,Gs4,2022,32000,Usado,Bencina,Negro,Automática,9490000,Metropolitana de Santiago,Providencia,Vendedor de autos.,Autos-vehículo
Seat,Arona,2021,48013,Usado,Bencina,Plata Plata,Automática,11490000,Araucanía,Temuco,Vendedor de autos.,Autos-vehículo
Volkswagen,Nivus,2023,14165,Usado,Bencina,Marrón Marrón,Automática,14890000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,Autos-vehículo
Citroën,C-Elysee,2022,29000,Usado,Bencina,Gris,Automática,9900000,Metropolitana de Santiago,Maipú,Vendedor de autos.,Autos-vehículo
Kia,Sorento,2012,104000,Usado,Bencina,Plata,Automática,8980000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Chevrolet,Spark Gt,2021,69774,Usado,Bencina,Plata Plata,Automática,6690000,Bío Bío,Los Angeles,Vendedor de autos.,Autos-vehículo
Suzuki,Swift,2016,136000,Usado,Bencina,Negro,Automática,6690000,Metropolitana de Santiago,Chicureo,Vendedor de autos.,Autos-vehículo
Hyundai,Accent Prime,2024,31000,Usado,Bencina,Rojo,Automática,12190000,Coquimbo,La Serena,Vendedor de autos.,"Autos, camionetas y 4x4"
Honda,Cr-V,2020,32000,Usado,Bencina,Plata,Automática,19000000,Metropolitana de Santiago,Providencia,Vendedor de autos.,"Autos, camionetas y 4x4"
Jeep,Patriot,2016,121700,Usado,Bencina,Gris,Automática,10290000,Maule,Curicó,Vendedor de autos.,"Autos, Camionetas y 4x4"
Toyota,Yaris,2022,1500,Usado,Bencina,Plata,Manual,12990000,Coquimbo,La Serena,Vendedor de autos.,"Autos, camionetas y 4x4"
Kia,Sonet,2022,32000,Usado,Bencina,Gris,Manual,13790000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, Camionetas y 4x4"
Suzuki,Baleno,2019,117000,Usado,Bencina,Blanco,Manual,7800000,OHiggins,Rancagua,Vendedor de autos.,"Autos, camionetas y 4x4"
Ford,Escape,2017,83000,Usado,Bencina,Blanco,Automática,16000000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Hyundai,Grand I10,2022,42000,Usado,Bencina,Rojo,Manual,8500000,Metropolitana de Santiago,Providencia,Vendedor de autos.,"Autos, camionetas y 4x4"
MG,Mg3,2021,47702,Usado,Bencina,Blanco Blanco,Automática,8190000,Metropolitana de Santiago,La Florida,Vendedor de autos.,"Autos, camionetas y 4x4"
Hyundai,Elantra,2012,165000,Usado,Bencina,Plata,Automática,5800000,Valparaíso,Concón,Vendedor de autos.,"Autos, camionetas y 4x4"
Volkswagen,Voyage,2021,94500,Usado,Bencina,Gris,Manual,6800000,Los Lagos,Osorno,Vendedor de autos.,"Autos, camionetas y 4x4"
Nissan,Np300,2018,200000,Usado,Diesel,Gris,Automática,17250000,Araucanía,Pucón,Vendedor de autos.,"Autos, camionetas y 4x4"
Subaru,Outback,2021,45000,Usado,Bencina,Gris,Automática,21890000,OHiggins,Rancagua,Vendedor de autos.,"Autos, camionetas y 4x4"
SsangYong,Korando,2022,31400,Usado,Diesel,Negro,Manual,16990000,Araucanía,Temuco,Vendedor de autos.,"Autos, Camionetas y 4x4"
Toyota,Auris,2013,160000,Usado,Bencina,Azul,Manual,6500000,Atacama,Copiapó,Vendedor de autos.,"Autos, camionetas y 4x4"
Mercedes-Benz,Clase Glc,2022,83600,Usado,Diesel,Blanco,Automática,36970000,Los Lagos,OSORNO,Vendedor de autos.,"Autos, Camionetas y 4x4"
Kia,Morning,2016,108000,Usado,Bencina,Gris,Manual,5650000,Metropolitana de Santiago,La Florida,Vendedor de autos.,"Autos, camionetas y 4x4"
Mazda,Cx-5,2014,170000,Usado,Bencina,Rojo,Automática,9680000,Metropolitana de Santiago,Santiago,Vendedor de autos.,"Autos, camionetas y 4x4"
Chevrolet,N400 Max,2024,20806,Usado,Bencina,Blanco,Manual,9490000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
Volvo,C30,2013,112000,Usado,Bencina,Azul,Manual,6000000,Bío Bío,Concepción,Vendedor de autos.,"Autos, camionetas y 4x4"
Volkswagen,Touareg,2015,160000,Usado,Diesel,Blanco,Automática,25400000,Metropolitana de Santiago,Colina,Vendedor de autos.,"Autos, camionetas y 4x4"
Lexus,Ls,2009,74000,Usado,Bencina,Negro,Automática,19000000,Metropolitana de Santiago,El Monte,Vendedor de autos.,"Autos, camionetas y 4x4"
Mercedes-Benz,E 200,2015,86000,Usado,Bencina,Azul,Automática,15800000,Metropolitana de Santiago,Santiago,Vendedor de autos.,"Autos, camionetas y 4x4"
Alfa Romeo,Giulia,2021,40900,Usado,Bencina,Negro,Automática,28900000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
Ram,700,2025,16,Usado,Bencina,Blanco,Automática,16641000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, Camionetas y 4x4"
Kia,Rio 4,2023,22000,Usado,Bencina,Blanco,Manual,11890000,Valparaíso,Concón,Vendedor de autos.,Sedán
Nissan,X-Trail,2023,35000,Usado,Bencina,Plata,Automática,21990000,Bío Bío,Los Angeles,Vendedor de autos.,"Autos, Camionetas y 4x4"
BMW,X1,2015,112000,Usado,Bencina,Plata,Automática,11000000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,"Autos, camionetas y 4x4"
Peugeot,Boxer,2021,24000,Usado,Diesel,Blanco,Manual,22500000,Metropolitana de Santiago,La Florida,Vendedor de autos.,"Autos, camionetas y 4x4"
Ford,Ecosport,2019,62000,Usado,Bencina,Blanco,Automática,14000000,Aysén,Coihaique,Vendedor de autos.,"Autos, camionetas y 4x4"
Citroën,C3,2017,120000,Usado,Diesel,Gris,Automática,7600000,Metropolitana de Santiago,Talagante,Vendedor de autos.,Autos-vehículo
Mitsubishi,Eclipse Cross,2020,78000,Usado,Bencina,Grafito,Automática,10980000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,Autos-vehículo
MINI,Cooper,2019,75000,Usado,Diesel,Gris,Automática,15390000,Valparaíso,Los Andes,Vendedor de autos.,Autos-vehículo
Hyundai,Santa Fe,2017,96000,Usado,Diesel,Negro,Automática,13980000,Antofagasta,Antofagasta,Vendedor de autos.,Autos-vehículo
Audi,A3,2017,51400,Usado,Bencina,Plata,Automática,15450000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Audi,Q7,2017,146506,Usado,Diesel,Gris,Automática,27900000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Subaru,Xv,2022,7800,Usado,Bencina,Azul Azul,Automática,23390000,Metropolitana de Santiago,Quilicura,Vendedor de autos.,Autos-vehículo
Citroën,C3,2014,163,Usado,Bencina,Blanco,Automática,7300000,Araucanía,Padre de las casas,Vendedor de autos.,Autos-vehículo
Ford,Explorer,2014,230000,Usado,Bencina,Gris,Automática,9500000,Los Lagos,Calbuco,Vendedor de autos.,"Autos, camionetas y 4x4"
Renault,Oroch,2020,107633,Usado,Bencina,Gris,Manual,9890000,Valparaíso,Viña del Mar,Vendedor de autos.,"Autos, Camionetas y 4x4"
Jmc,Vigus,2022,55440,Usado,Diesel,GRIS,Manual,10900000,Bío Bío,Los Ángeles,Vendedor de autos.,"Autos, Camionetas y 4x4"
Dongfeng,Sx5,2022,35000,Usado,Bencina,Blanco,Manual,8190000,Maule,Curicó,Vendedor de autos.,Station Wagon
Chevrolet,Groove,2023,19368,Usado,Bencina,Blanco Blanco,Manual,11890000,Metropolitana de Santiago,Macul,Vendedor de autos.,"Autos, camionetas y 4x4"
Mercedes-Benz,A 200,2017,51000,Usado,Diesel,Azul,Automática,13900000,Metropolitana de Santiago,Peñaflor,Vendedor de autos.,"Autos, camionetas y 4x4"
Citroën,C-Elysee,2019,158000,Usado,Diesel,Azul,Manual,8450000,Metropolitana de Santiago,Buin,Vendedor de autos.,"Autos, camionetas y 4x4"
Ford,Ecosport,2018,88929,Usado,Bencina,BLANCO,Manual,8190000,Metropolitana de Santiago,San Joaquín,Vendedor de autos.,"Autos, Camionetas y 4x4"
Kia,Morning,2019,16000,Usado,Bencina,Rojo,Manual,7500000,Valparaíso,Villa Alemana,Vendedor de autos.,"Autos, camionetas y 4x4"
Volvo,Xc60,2022,18100,Usado,Bencina,Plata,Automática,32890000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Peugeot,301,2017,136000,Usado,Diesel,Negro,Manual,8200000,OHiggins,San Vicente de Tagua Tagua,Vendedor de autos.,"Autos, camionetas y 4x4"
Ford,Explorer,2022,51500,Usado,Bencina,Blanco,Automática,32890000,Valparaíso,Los Andes,Vendedor de autos.,"Autos, Camionetas y 4x4"
JAC,S3,2016,130000,Usado,Bencina,Gris,Manual,8100000,Araucanía,Nueva Imperial,Vendedor de autos.,"Autos, camionetas y 4x4"
Range Rover,Evoque,2015,165000,Usado,Bencina,Azul,Automática,19200000,Metropolitana de Santiago,Talagante,Vendedor de autos.,"Autos, camionetas y 4x4"
Ford,Explorer,2016,60000,Usado,Bencina,Azul,Automática,16500000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
BMW,X5,2019,130000,Usado,Diesel,Gris,Automática,29900000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, Camionetas y 4x4"
Ford,Maverick,2023,62000,Usado,Bencina,Naranja,Automática,21950000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, Camionetas y 4x4"
Ford,Ranger,2013,174000,Usado,Diesel,Rojo,Manual,9700000,Metropolitana de Santiago,Providencia,Vendedor de autos.,"Autos, camionetas y 4x4"
Suzuki,Swift,2013,140000,Usado,Bencina,Blanco,Manual,7200000,Bío Bío,Concepción,Vendedor de autos.,"Autos, camionetas y 4x4"
BMW,X3,2011,140000,Usado,Bencina,Rojo,Automática,10200000,Araucanía,Temuco,Vendedor de autos.,"Autos, camionetas y 4x4"
Toyota,Prius C,2021,87637,Usado,Híbrido,Plata,Automática,11900000,Metropolitana de Santiago,vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
SsangYong,Rexton,2018,89109,Usado,Bencina,Gris,Automática,13500000,Coquimbo,Coquimbo,Vendedor de autos.,"Autos, camionetas y 4x4"
Hyundai,I30,2011,165000,Usado,Bencina,Blanco,Manual,5150000,Metropolitana de Santiago,Santiago,Vendedor de autos.,"Autos, camionetas y 4x4"
Mitsubishi,Lancer,2018,54300,Usado,Bencina,Gris,Automática,9990000,Valparaíso,Quillota,Vendedor de autos.,Autos-vehículo
Peugeot,3008,2024,5,Usado,Bencina,Gris,Automática,23590000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,Autos-vehículo
Volkswagen,Amarok,2020,162542,Usado,Diesel,Plata,Automática,16900000,Valparaíso,El Belloto,Vendedor de autos.,Autos-vehículo
Land Rover,Discovery Sport,2018,58500,Usado,Bencina,Blanco,Automática,17890000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
BMW,530,2018,110000,Usado,Diesel,Gris,Automática,29990000,Maule,Talca,Vendedor de autos.,Autos-vehículo
Honda,Hr-V,2022,40900,Usado,Bencina,Blanco,Automática,15890000,OHiggins,Rancagua,Vendedor de autos.,Autos-vehículo
Toyota,Fortuner,2022,23000,Usado,Diesel,Grafito,Automática,36800000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,Autos-vehículo
Mitsubishi,Eclipse Cross,2021,33000,Usado,Bencina,Blanco,Automática,14980000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
MG,3,2022,22400,Usado,Bencina,Blanco,Automática,7980000,OHiggins,Rancagua,Vendedor de autos.,Autos-vehículo
MG,Mg5,2022,84792,Usado,Bencina,Blanco,Automática,8490000,Bío Bío,Hualpén,Vendedor de autos.,Autos-vehículo
Chevrolet,Sail,2024,1,Usado,Bencina,Blanco,Automática,10790000,Valparaíso,Viña del Mar,Vendedor de autos.,Autos-vehículo
Jac,Js2,2022,30000,Usado,Bencina,Rojo Rojo,Automática,8490000,Ñuble,Chillán,Vendedor de autos.,Autos-vehículo
Peugeot,2008,2017,79000,Usado,Bencina,Rojo,Automática,9990000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,Autos-vehículo
Volkswagen,Virtus,2024,11000,Usado,Bencina,Blanco,Automática,17190000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
MG,Rx5,2022,34000,Usado,Bencina,Blanco,Automática,10480000,Bío Bío,Los Angeles,Vendedor de autos.,Autos-vehículo
MG,Mg3,2023,14000,Usado,Bencina,Blanco,Automática,9490000,Metropolitana de Santiago,Cerrillos,Vendedor de autos.,Autos-vehículo
MG,Mg Rx5,2022,79000,Usado,Bencina,Plata Plata,Automática,10590000,Metropolitana de Santiago,Macul,Vendedor de autos.,Autos-vehículo
Kia,Frontier,2018,170169,Usado,Diesel,Blanco,Automática,11590000,Araucanía,Temuco,Vendedor de autos.,Autos-vehículo
JAC,S3,2017,97200,Usado,Bencina,Grafito,Automática,6990000,Bío Bío,CONCEPCION,Vendedor de autos.,Autos-vehículo
Chevrolet,Sail,2021,96000,Usado,Bencina,Blanco,Automática,7990000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,Autos-vehículo
Toyota,Rush,2023,11716,Usado,Bencina,Rojo Rojo,Automática,14290000,Metropolitana de Santiago,Providencia,Vendedor de autos.,Autos-vehículo
Ford,Explorer,2022,35771,Usado,Bencina,Negro Negro,Automática,30990000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,Autos-vehículo
Haval,H6,2024,20084,Usado,Híbrido,Plata,Automática,21590000,Metropolitana de Santiago,MAIPU,Vendedor de autos.,Autos-vehículo
Jetour,Dashing,2023,27000,Usado,Bencina,Negro,Automática,14790000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,Autos-vehículo
Nissan,Qashqai,2013,135000,Usado,Bencina,Grafito,Automática,6950000,Metropolitana de Santiago,La Florida,Vendedor de autos.,Autos-vehículo
Renault,Oroch,2021,90000,Usado,Bencina,Blanco,Automática,8990000,Metropolitana de Santiago,Santiago,Vendedor de autos.,Autos-vehículo
Ram,1000,2023,5100,Usado,Diesel,Blanco,Automática,9890000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,Autos-vehículo
SsangYong,Tivoli,2018,85000,Usado,Bencina,Blanco,Automática,10190000,Maule,Talca,Vendedor de autos.,Autos-vehículo
Nissan,X-Trail,2009,198000,Usado,Bencina,Plata,Automática,5980000,Metropolitana de Santiago,Santiago,Vendedor de autos.,Autos-vehículo
Faw,D60,2019,71170,Usado,Bencina,Bronce,Automática,5990000,Araucanía,Temuco,Vendedor de autos.,Autos-vehículo
Chevrolet,Suburban,2013,181000,Usado,Bencina,Plata,Automática,13490000,Metropolitana de Santiago,Santiago,Vendedor de autos.,Autos-vehículo
Toyota,Corolla Cross,2023,50763,Usado,Bencina,Marrón Marrón,Automática,16090000,Metropolitana de Santiago,vitacura,Vendedor de autos.,Autos-vehículo
Zna,Rich,2021,167907,Usado,Diesel,Plata Plata,Automática,8590000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,Autos-vehículo
Mazda,3 Sport,2014,95000,Usado,Bencina,Negro,Manual,7900000,Valparaíso,Viña del Mar,Vendedor de autos.,"Autos, camionetas y 4x4"
Ford,F-150,2018,111000,Usado,Bencina,Negro,Automática,24000000,Valparaíso,Viña Del Mar,Vendedor de autos.,"Autos, camionetas y 4x4"
Toyota,Rush,2022,25000,Usado,Bencina,Plata,Automática,13400000,Metropolitana de Santiago,Buin,Vendedor de autos.,"Autos, camionetas y 4x4"
Kia,Rio 4,2023,14000,Usado,Bencina,Blanco,Manual,11780000,Metropolitana de Santiago,Nuñoa,Vendedor de autos.,Sedán
Renault,Megane III,2015,160880,Usado,Bencina,Gris,Automática,8900000,Los Ríos,Rio Bueno,Vendedor de autos.,"Autos, Camionetas y 4x4"
Kia,Morning,2021,74200,Usado,Bencina,Rojo,Automática,7790000,Araucanía,Temuco,Vendedor de autos.,"Autos, Camionetas y 4x4"
Peugeot,Partner,2018,65000,Usado,Diesel,Blanco,Automática,7500000,Metropolitana de Santiago,Macul,Vendedor de autos.,"Autos, Camionetas y 4x4"
Opel,Mokka,2024,6000,Usado,Diesel,Gris,Automática,19580000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, Camionetas y 4x4"
Citroën,Berlingo Multispace,2016,117750,Usado,Diesel,Rojo,Manual,8200000,Metropolitana de Santiago,Maipú,Vendedor de autos.,"Autos, camionetas y 4x4"
SsangYong,Rexton,2022,23000,Usado,Diesel,Gris,Automática,26990000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Jeep,Grand Cherokee,2020,50600,Usado,Bencina,Blanco,Automática,31800000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,Autos-vehículo
Haval,Jolion,2021,20231,Usado,Bencina,Negro,Automática,13780000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,Autos-vehículo
Land Rover,Discovery Sport,2020,62000,Usado,Bencina,Blanco,Automática,24990000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,Autos-vehículo
Audi,A3,2021,35571,Usado,Bencina,Gris,Automática,16990000,Bío Bío,Concepcion,Vendedor de autos.,Autos-vehículo
Volkswagen,Gol,2022,9014,Usado,Bencina,Negro,Automática,7990000,Maule,Curicó,Vendedor de autos.,Autos-vehículo
Suzuki,Baleno,2021,78291,Usado,Bencina,Blanco Blanco,Automática,10490000,Bío Bío,Concepción,Vendedor de autos.,Autos-vehículo
Chevrolet,Silverado,2017,76000,Usado,Bencina,Negro,Automática,29990000,Metropolitana de Santiago,Santiago,Vendedor de autos.,Autos-vehículo
MINI,Cooper S 2.0 T,2015,102926,Usado,Bencina,Rojo,Automática,13990000,Bío Bío,Concepción,Vendedor de autos.,Autos-vehículo
Mercedes-Benz,A 200,2021,39832,Usado,Diesel,Gris,Automática,24690000,Bío Bío,Concepción,Vendedor de autos.,Autos-vehículo
Jaguar,F-Pace,2018,62266,Usado,Diesel,Blanco,Automática,29500000,Los Lagos,Osorno,Vendedor de autos.,Autos-vehículo
Baic,X35,2021,37000,Usado,Bencina,Gris,Automática,8490000,Valparaíso,Viña del Mar,Vendedor de autos.,Autos-vehículo
Nissan,Versa,2021,54300,Usado,Bencina,Grafito,Automática,10490000,OHiggins,San Fernando,Vendedor de autos.,Autos-vehículo
Shineray,X30,2024,5000,Usado,Bencina,Blanco,Automática,7366100,Metropolitana de Santiago,Ñuñoa,Vendedor de autos.,Autos-vehículo
Citroën,C-Elysee,2022,29772,Usado,Bencina,Marrón Marrón,Automática,9490000,Metropolitana de Santiago,La Florida,Vendedor de autos.,Autos-vehículo
Opel,Crossland,2020,23500,Usado,Diesel,Blanco,Automática,11790000,Metropolitana de Santiago,Maipú,Vendedor de autos.,Autos-vehículo
BMW,118,2024,5600,Usado,Bencina,Blanco,Automática,32970000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Chery,Tiggo 3,2022,20500,Usado,Otro,Azul,Automática,9980000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Honda,City,2019,95000,Usado,Bencina,Blanco Blanco,Automática,8990000,Araucanía,Temuco,Vendedor de autos.,Autos-vehículo
Volkswagen,Nivus,2023,10203,Usado,Bencina,Blanco,Automática,17290000,Valparaíso,Viña del Mar,Vendedor de autos.,Autos-vehículo
Chevrolet,Onix,2021,35000,Usado,Bencina,Blanco,Automática,8690000,Metropolitana de Santiago,Ñuñoa,Vendedor de autos.,Autos-vehículo
Dodge,Durango,2020,33100,Usado,Bencina,Negro,Automática,26990000,Metropolitana de Santiago,Santiago,Vendedor de autos.,Autos-vehículo
MG,HS,2023,1000,Usado,Bencina,Azul Azul,Automática,13490000,Ñuble,Chillán,Vendedor de autos.,Autos-vehículo
Land Rover,Range Rover Sport,2017,62695,Usado,Bencina,Azul,Automática,34500000,Metropolitana de Santiago,Lo Barnechea,Vendedor de autos.,Autos-vehículo
Seat,Ibiza,2023,2886,Usado,Bencina,Rojo Rojo,Automática,13590000,Bío Bío,Concepción,Vendedor de autos.,Autos-vehículo
Jac,Js8,2022,14500,Usado,Bencina,Bordo,Automática,12190000,Los Lagos,puerto varas,Vendedor de autos.,Autos-vehículo
Ford,F-150,2019,91626,Usado,Bencina,Marrón Marrón,Automática,28390000,Bío Bío,Concepción,Vendedor de autos.,Autos-vehículo
Audi,Q2,2022,37913,Usado,Bencina,Blanco,Automática,24000000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Nissan,Qashqai,2024,352,Usado,Bencina,Plata Plata,Automática,26990000,Metropolitana de Santiago,Providencia,Vendedor de autos.,Autos-vehículo
Hyundai,Tucson,2022,40461,Usado,Bencina,Plata,Automática,18290000,Metropolitana de Santiago,Macul,Vendedor de autos.,Autos-vehículo
Alfa Romeo,Mito,2014,67000,Usado,Bencina,Blanco,Automática,9990000,Araucanía,Temuco,Vendedor de autos.,Autos-vehículo
Chevrolet,Spark,2021,98580,Usado,Bencina,Blanco,Automática,6490000,Metropolitana de Santiago,Santiago,Vendedor de autos.,Autos-vehículo
Chery,Tiggo 3,2021,75000,Usado,Bencina,Blanco,Automática,8790000,Metropolitana de Santiago,Maipú,Vendedor de autos.,Autos-vehículo
Geely,Coolray,2022,29684,Usado,Bencina,Rojo Rojo,Automática,11590000,Maule,Talca,Vendedor de autos.,Autos-vehículo
MINI,Cooper,2022,10300,Usado,Eléctrico,Gris,Automática,30900000,Metropolitana de Santiago,Lo Barnechea,Vendedor de autos.,Autos-vehículo
SsangYong,Stavic,2017,115000,Usado,Diesel,Blanco,Automática,11670000,Metropolitana de Santiago,Santiago,Vendedor de autos.,"Autos, Camionetas y 4x4"
Haval,H6,2022,45000,Usado,Bencina,Bordo,Automática,12485673,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Volkswagen,Nivus,2022,23000,Usado,Bencina,Gris,Automática,13490000,Araucanía,Temuco,Vendedor de autos.,Autos-vehículo
Nissan,Qashqai,2012,208900,Usado,Bencina,Blanco,Automática,4400000,Metropolitana de Santiago,La Reina,Vendedor de autos.,Autos-vehículo
Land Rover,Evoque,2019,74000,Usado,Bencina,Blanco,Automática,37990000,Metropolitana de Santiago,Lo Barnechea,Vendedor de autos.,Autos-vehículo
Changan,Hunter,2022,47700,Usado,Diesel,Blanco,Automática,14290000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,Autos-vehículo
Suzuki,Ignis,2018,85500,Usado,Bencina,Marrón Marrón,Automática,8690000,Los Lagos,Castro,Vendedor de autos.,Autos-vehículo
BMW,X6,2018,66000,Usado,Bencina,Blanco,Automática,35000000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Hyundai,Grand I10,2021,88000,Usado,Bencina,Negro,Automática,6980000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,Autos-vehículo
Suzuki,S-Presso,2022,14500,Usado,Bencina,Naranja,Automática,6690000,Valparaíso,San Antonio,Vendedor de autos.,Autos-vehículo
Nissan,Qashqai,2020,26500,Usado,Bencina,Plata Plata,Automática,11990000,Metropolitana de Santiago,VITACURA,Vendedor de autos.,Autos-vehículo
Mitsubishi,Outlander,2016,74000,Usado,Bencina,Negro,Automática,10500000,Metropolitana de Santiago,La Reina,Vendedor de autos.,Autos-vehículo
Ford,F-150,2020,53000,Usado,Bencina,Blanco,Automática,29990000,Maule,Curicó,Vendedor de autos.,Autos-vehículo
Mazda,Bt-50,2022,103000,Usado,Diesel,Grafito,Automática,22980000,Maule,Curicó,Vendedor de autos.,Autos-vehículo
Ford,Edge,2019,92800,Usado,Bencina,Gris,Automática,18590000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,Autos-vehículo
Baic,X25,2018,77352,Usado,Bencina,Blanco,Automática,6990000,Bío Bío,CONCEPCION,Vendedor de autos.,Autos-vehículo
Renault,Koleos,2016,90000,Usado,Bencina,Gris,Automática,6490000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,Autos-vehículo
Jmc,Vigus,2023,52000,Usado,Diesel,Beige,Manual,10500000,Metropolitana de Santiago,La Florida,Vendedor de autos.,"Autos, camionetas y 4x4"
Volkswagen,Tiguan,2022,65500,Usado,Bencina,Gris,Automática,21990000,Metropolitana de Santiago,La Reina,Vendedor de autos.,"Autos, Camionetas y 4x4"
Haval,H6,2021,43000,Usado,Bencina,Rojo,Automática,14900000,OHiggins,San Fernando,Vendedor de autos.,"Autos, camionetas y 4x4"
Ford,Bronco Sport,2022,95000,Usado,Bencina,Azul,Automática,20990000,Bío Bío,Los Ángeles,Vendedor de autos.,"Autos, camionetas y 4x4"
Mitsubishi,Outlander,2015,186400,Usado,Bencina,Blanco,Automática,7990000,Metropolitana de Santiago,Santiago,Vendedor de autos.,"Autos, Camionetas y 4x4"
Jeep,Grand Cherokee,2022,27535,Usado,Bencina,Negro,Automática,32490000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
Peugeot,308,2012,158000,Usado,Bencina,Gris,Automática,6000000,OHiggins,Nancagua,Vendedor de autos.,"Autos, camionetas y 4x4"
Subaru,Forester,2022,42300,Usado,Bencina,Gris,Automática,23590000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Toyota,Corolla Cross,2023,40471,Usado,Bencina,Gris,Automática,15900000,Bío Bío,Los Ángeles,Vendedor de autos.,Autos-vehículo
Jac,S3,2022,22000,Usado,Bencina,Plata,Automática,8990000,Maule,Talca,Vendedor de autos.,Autos-vehículo
Ram,1500,2022,14500,Usado,Bencina,Plata Plata,Automática,35990000,Bío Bío,Concepción,Vendedor de autos.,Autos-vehículo
Chevrolet,Groove,2023,25000,Usado,Bencina,Plata,Automática,13280000,Metropolitana de Santiago,La Reina,Vendedor de autos.,Autos-vehículo
Chevrolet,Traverse,2021,57557,Usado,Bencina,Negro Negro,Automática,23490000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, camionetas y 4x4"
Volkswagen,Tiguan,2012,105568,Usado,Bencina,Gris,Automática,7990000,Los Lagos,Osorno,Vendedor de autos.,Sedan
Citroën,C4 Cactus,2017,90900,Usado,Diesel,Blanco,Automática,10900000,Valparaíso,Calle Larga,Vendedor de autos.,"Autos, camionetas y 4x4"
Volkswagen,Gol,2019,28911,Usado,Bencina,Gris,Automática,6990000,Maule,Linares,Vendedor de autos.,"Autos, camionetas y 4x4"
Chevrolet,Spark Gt,2021,40084,Usado,Bencina,Rojo Rojo,Automática,6690000,Metropolitana de Santiago,La florida,Vendedor de autos.,"Autos, camionetas y 4x4"
Citroën,C5 Aircross,2021,93000,Usado,Diesel,Marrón Marrón,Automática,14190000,Metropolitana de Santiago,Maipú,Vendedor de autos.,"Autos, camionetas y 4x4"
Chevrolet,Tracker,2023,32000,Usado,Bencina,Azul,Manual,10500000,Valparaíso,Valparaiso,Vendedor de autos.,"Autos, camionetas y 4x4"
Honda,Ridgeline,2019,62000,Usado,Bencina,Gris Grafito,Automática,27880000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, Camionetas y 4x4"
Peugeot,Partner,2019,58911,Usado,Diesel,Blanco,Manual,8800000,Metropolitana de Santiago,San Joaquin,Vendedor de autos.,"Autos, Camionetas y 4x4"
