Marca,Modelo,Ano,Kilometraje,Condicion,Combustible,Color,Transmision,price,location,Comuna,Tipo_de_vendedor,Category
Toyota,Corolla,2020,108803,Usado,Bencina,Marrón Marrón,Automática,9490000,Los Ríos,Valdivia,Vendedor de autos.,Autos-vehículo
Jeep,Patriot,2015,88200,Usado,Bencina,Gris Gris,Automática,9990000,Araucanía,Temuco,Vendedor de autos.,Autos-vehículo
Jeep,Wrangler,2014,149000,Usado,Bencina,Rojo,Automática,18490000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Kia,Cerato,2018,104313,Usado,Bencina,Plata,Manual,10690000,Metropolitana de Santiago,Maipú,Vendedor de autos.,"Autos, Camionetas y 4x4"
SsangYong,Korando,2019,58000,Usado,Bencina,Blanco,Manual,9000000,Metropolitana de Santiago,Maipú,Vendedor de autos.,"Autos, camionetas y 4x4"
Citroën,Berlingo,2017,85000,Usado,Diesel,Beige,Manual,8300000,Bío Bío,Los Ángeles,Vendedor de autos.,"Autos, camionetas y 4x4"
Kawasaki,Versys,2009,77000,Usado,Bencina,Rojo,Manual,2300000,Valparaíso,Viña del Mar,Vendedor de autos.,"Autos, camionetas y 4x4"
Chevrolet,Captiva,2009,195000,Usado,Diesel,Verde,Manual,5500000,Los Lagos,Castro,Vendedor de autos.,"Autos, camionetas y 4x4"
Audi,Q2,2018,88000,Usado,Bencina,Blanco,Automática,17000000,Coquimbo,Illapel,Vendedor de autos.,"Autos, camionetas y 4x4"
Haval,H6,2019,62912,Usado,Bencina,Blanco Blanco,Automática,11590000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,"Autos, camionetas y 4x4"
Kia,K3,2024,12149,Usado,Bencina,Plata Plata,Automática,17990000,Metropolitana de Santiago,Cerrillos,Vendedor de autos.,"Autos, camionetas y 4x4"
Chevrolet,Silverado,2019,26500,Usado,Bencina,Rojo,Automática,32000000,Metropolitana de Santiago,Vitacura,Vendedor de autos.,"Autos, camionetas y 4x4"
Renault,Clio,2021,105000,Usado,Bencina,Blanco,Manual,8790000,Valparaíso,QUILPÚE,Vendedor de autos.,"Autos, Camionetas y 4x4"
BMW,X1,2019,74000,Usado,Diesel,Negro,Automática,21990000,Metropolitana de Santiago,Providencia,Vendedor de autos.,SUV
Volkswagen,Golf,2017,99200,Usado,Bencina,Azul,Automática,16500000,Valparaíso,Algarrobo,Vendedor de autos.,"Autos, camionetas y 4x4"
Chevrolet,Blazer,2024,35000,Usado,Bencina,Rojo,Automática,33000000,OHiggins,Rancagua,Vendedor de autos.,"Autos, camionetas y 4x4"
Mercedes-Benz,Glc 220,2020,79088,Usado,Diesel,Gris,Automática,34990000,Metropolitana de Santiago,Lo Barnechea,Vendedor de autos.,"Autos, Camionetas y 4x4"
Toyota,Rav4,2017,124000,Usado,Bencina,Azul,Automática,15000000,Metropolitana de Santiago,Buin,Vendedor de autos.,"Autos, camionetas y 4x4"
Renault,Koleos,2013,100000,Usado,Bencina,Azul,Automática,8350000,Metropolitana de Santiago,Colina,Vendedor de autos.,"Autos, camionetas y 4x4"
